Lower Cut	Upper Cut	x0	d	a	Covariance Matrix(formatted row1 row2 row3)
-7.5	-7.2	-7.367951650981635	30.98779717958836	118.084832752514	2.5206000305874428e-05	-0.027141109264250268	1.5792580960378402e-06	-0.027141109264250268	188.2643801230207	0.02491860388977296	1.579258096037841e-06	0.024918603889772958	0.09607496247054408
-7.0	-6.6	-6.766501902973722	37.211976352236434	118.08546862688127	1.4982642813585735e-05	-0.04345869059974635	4.087087032766945e-06	-0.04345869059974635	367.2257175686084	0.01782569133643971	4.087087032766946e-06	0.01782569133643971	0.09608611203670425
-6.4	-6.0	-6.200405461820966	31.982798209480613	118.0784736557641	1.8846942893077617e-05	0.02711272738679973	-1.6656658666414833e-06	0.02711272738679973	311.66160178653104	0.02117819393471329	-1.6656658666414833e-06	0.02117819393471329	0.09673059897188008
-5.9	-5.6	-5.721758247967396	29.729197392355008	118.08298950958569	3.038598381001601e-05	-0.015292959401524754	8.711571822815468e-07	-0.015292959401524754	147.86681190614587	0.025899814503357647	8.711571822815468e-07	0.025899814503357647	0.096267199067844
-5.3	-4.9	-5.099083829618199	34.421418879463936	118.08923367548175	1.9616276757214825e-05	-0.03272838322597766	2.325404928585674e-06	-0.03272838322597766	213.8625249593296	0.02629214793342041	2.325404928585674e-06	0.02629214793342041	0.09568078879730749
-4.7	-4.3	-4.4771981096064275	39.492024798547796	118.09471802943332	7.459894832396236e-06	-0.0313551635594337	3.156832577836269e-06	-0.031355163559433706	531.1103895992899	0.003873872688893445	3.156832577836269e-06	0.003873872688893445	0.0950629167323254
3.3	3.7	3.5184997063655254	53.136856608773	118.09956105568881	1.5717943824794387e-05	0.1299172416302641	-2.054961431997687e-05	0.12991724163026408	1303.6984415464017	-0.1146211216889703	-2.0549614319975355e-05	-0.11462112168910428	0.09511483074361744
3.9	4.3	4.097833356234344	56.42304274982343	118.10291144322393	2.2754661302044093e-05	0.0885328204582152	-1.3919117876913627e-05	0.08853282045821519	459.4600254475052	0.010097568003694006	-1.3919117876913627e-05	0.010097568003694006	0.09538146671165011
4.5	4.9	4.704096276092063	21.938937780481847	118.07454790021745	6.342239329179341e-05	0.006759196707836286	2.3091987898991924e-07	0.006759196707836286	166.42737498098154	0.018695329988613434	2.3091987898991924e-07	0.018695329988613434	0.09703337526716038
5.0	5.4	5.172610930203874	26.747724740848064	118.07565210135296	4.818921772306267e-05	0.00626467583161002	-1.5464647720359845e-07	0.00626467583161002	142.24000632792553	0.0235027621834541	-1.5464647720359845e-07	0.0235027621834541	0.09700488890852572
5.6	6.1	5.824262330970769	37.02662223632294	118.0863834384673	1.233187816426524e-05	-0.039772945332653055	3.488591802824879e-06	-0.039772945332653055	433.36389931614156	0.013326457756814068	3.488591802824879e-06	0.013326457756814071	0.09594712831850244
6.2	6.8	6.495721602403444	34.20409827404353	118.09006115452353	2.3594704342625197e-05	0.018494359082694166	-1.3405645863294797e-06	0.018494359082694166	135.68073659327297	0.030243371559717135	-1.34056458632948e-06	0.030243371559717135	0.0956350087516192
